"id","golfer_id","score","course_name","created_at","updated_at"
359,14,32.00,"Robert A. Black","2009-10-20 00:00:00",NULL
360,10,46.00,"Robert A. Black","2009-10-20 00:00:00",NULL
361,3,48.00,"Robert A. Black","2009-10-10 00:00:00",NULL
362,11,40.00,"Robert A. Black","2009-10-27 00:00:00",NULL
363,2,42.00,"Robert A. Black","2009-10-27 00:00:00",NULL
364,7,41.00,"Robert A. Black","2009-10-27 00:00:00",NULL
365,10,46.00,"Robert A. Black","2009-10-27 00:00:00",NULL
366,14,42.00,"Robert A. Black","2010-03-23 00:00:00",NULL
367,8,43.00,"Robert A. Black","2010-03-23 00:00:00",NULL
368,10,46.00,"Robert A. Black","2010-03-23 00:00:00",NULL
369,7,38.00,"Robert A. Black","2010-03-23 00:00:00",NULL
370,2,41.00,"Robert A. Black","2010-03-23 00:00:00",NULL
371,11,43.00,"Robert A. Black","2010-03-23 00:00:00",NULL
372,6,40.00,"Robert A. Black","2010-03-30 00:00:00",NULL
373,11,44.00,"Robert A. Black","2010-03-30 00:00:00",NULL
374,8,45.00,"Robert A. Black","2010-03-30 00:00:00",NULL
375,7,44.00,"Robert A. Black","2010-03-30 00:00:00",NULL
376,5,42.00,"Robert A. Black","2010-03-30 00:00:00",NULL
377,2,45.00,"Robert A. Black","2010-03-30 00:00:00",NULL
378,3,45.00,"Robert A. Black","2010-03-30 00:00:00",NULL
379,4,42.00,"Robert A. Black","2010-03-30 00:00:00",NULL
380,1,41.00,"Robert A. Black","2010-03-30 00:00:00",NULL
381,4,39.00,"Robert A. Black","2010-04-06 00:00:00",NULL
382,1,40.00,"Robert A. Black","2010-04-06 00:00:00",NULL
383,6,42.00,"Robert A. Black","2010-04-06 00:00:00",NULL
384,8,42.00,"Robert A. Black","2010-04-06 00:00:00",NULL
385,7,39.00,"Robert A. Black","2010-04-06 00:00:00",NULL
386,2,44.00,"Robert A. Black","2010-04-06 00:00:00",NULL
387,5,43.00,"Robert A. Black","2010-04-06 00:00:00",NULL
388,10,43.00,"Robert A. Black","2010-04-13 00:00:00",NULL
389,8,40.00,"Robert A. Black","2010-04-13 00:00:00",NULL
390,7,36.00,"Robert A. Black","2010-04-13 00:00:00",NULL
